ID,Fname,Lname,birthday,gender,nationality,experience,matches,wins,losses,awards,position,height,weight,shirtNumber,CoachID
1,Melisenda,Tremain,09/01/1980,Female,RS,28,727,156,60,10,PF,204,90,17,13706
2,Travis,Eastam,03/10/1964,Male,US,7,931,469,114,10,PF,193,69,28,4214
3,Lothario,Pittson,20/10/1974,Male,CN,27,452,398,370,1,SG,194,85,32,18608
4,Jacqui,Cloughton,30/03/1983,Female,PT,2,815,134,119,4,SG,188,62,12,889
5,Tiebold,Blakey,16/08/1984,Male,PL,20,661,219,299,7,PF,191,88,29,16706
6,Gearalt,Larrett,25/06/1970,Male,RU,5,321,388,187,1,SG,198,65,33,17417
7,Yovonnda,Fumagall,09/06/1968,Female,MG,13,261,50,295,3,PF,196,67,23,4653
8,Rachele,Franses,13/10/1987,Female,CN,32,613,28,228,7,PG,210,86,10,12841
9,Pat,Beecham,01/10/1976,Female,CN,20,818,379,309,10,SF,192,66,23,13800
10,Winfield,Grelak,20/10/1960,Male,UA,33,349,123,422,9,C,197,64,3,18622
11,Levon,Bamber,14/05/1973,Bigender,PH,38,723,28,294,1,PF,189,86,34,12364
12,Georas,Cawsy,02/10/1986,Male,CN,29,634,18,397,1,SG,185,63,33,13230
13,Chandler,Ghiroldi,26/04/1979,Agender,PH,38,970,199,243,8,SF,187,62,7,7280
14,Eydie,McCart,04/06/1964,Female,SE,34,230,289,169,1,SF,207,62,13,4267
15,Corie,McNeish,27/11/1989,Female,PH,30,500,246,3,5,SG,187,80,16,17279
16,Stanton,Evenett,28/09/1980,Male,UG,7,419,417,403,10,C,191,85,1,16135
17,Kahlil,Petworth,27/03/1964,Bigender,MN,16,321,205,179,7,C,196,64,30,19936
18,Georgetta,Ezele,22/06/1985,Polygender,ID,12,49,286,498,1,PF,193,71,18,17336
19,Gianni,Firby,02/08/1971,Genderfluid,CY,28,509,196,14,3,PG,208,65,33,11733
20,Jarad,Memory,06/01/1983,Male,CA,19,253,433,22,9,PG,195,74,8,411
21,Rozina,Bonwick,25/05/1980,Female,CN,11,310,5,259,4,PG,193,85,35,9466
22,Jennee,Palister,15/02/1983,Female,CZ,35,264,152,333,5,PG,209,89,21,3352
23,Georgena,Jantot,27/12/1962,Female,PE,21,946,165,345,10,PF,200,77,21,11361
24,Marlow,Rowatt,16/05/1961,Male,UA,31,397,310,330,9,PG,204,72,36,12946
25,Gage,Nation,07/05/1970,Male,MX,36,108,497,295,9,PF,194,76,39,8545
26,Moishe,Reedie,16/10/1973,Non-binary,RU,25,711,466,418,6,PF,199,63,30,13072
27,Karel,Jackman,11/12/1973,Male,JP,12,476,33,472,4,PF,200,67,7,10571
28,Austen,Garrad,04/11/1987,Male,CR,13,68,475,40,9,PG,195,60,25,14641
